,ticker,close,PER,PBR,PSR,ROE,ROA
0,000060,16350.0,7.7,0.82,0.17,,
1,000400,1955.0,2.94,0.47,0.15,,
2,000810,230500.0,9.15,0.94,0.49,,
3,001450,24100.0,5.23,0.52,0.12,,
4,005830,47900.0,5.69,0.67,0.2,,
5,032830,72200.0,7.79,0.5,0.49,,
6,085620,3845.0,5.06,0.37,0.22,,
7,000480,82800.0,5.1,0.56,0.75,4.46,2.98
8,000660,99000.0,4.45,1.54,2.36,5.88,4.62
9,000880,22550.0,3.45,0.53,0.55,1.68,0.7
10,001070,20100.0,6.65,0.6,0.63,1.46,0.94
11,001130,144000.0,4.66,0.32,0.78,3.38,3.18
12,001340,2390.0,4.36,0.69,0.63,5.99,3.09
13,001570,2460.0,4.62,1.35,0.9,7.02,1.45
14,001940,12600.0,7.6,0.3,16.31,8.87,8.83
15,002170,58400.0,6.92,0.6,0.88,4.77,4.2
16,002200,19700.0,4.56,0.34,0.3,5.9,4.71
17,002270,399000.0,8.53,0.66,0.26,3.88,2.0
18,002310,31850.0,3.63,0.53,0.67,8.53,7.33
19,002350,8720.0,8.65,0.64,0.75,4.11,2.39
20,002710,2660.0,5.88,0.55,0.19,-10.86,-3.76
21,002870,1450.0,4.6,0.97,2.11,-53.26,-20.41
22,003000,13800.0,6.21,2.21,5.4,-0.83,-0.64
23,003160,3430.0,9.45,0.8,1.06,-4.44,-2.73
24,003240,1013000.0,3.98,0.37,0.75,9.58,7.97
25,003570,6650.0,9.29,0.36,0.97,2.5,1.88
26,003960,15900.0,9.58,0.43,0.13,4.99,2.39
27,004000,40700.0,4.82,0.76,0.83,15.59,12.67
28,004430,13700.0,8.63,0.8,0.53,7.59,3.94
29,004450,44750.0,8.4,0.69,0.9,6.12,3.9
30,004490,35700.0,5.08,0.51,0.46,7.15,5.78
31,004560,9090.0,7.1,0.36,0.2,2.83,1.89
32,004700,36700.0,9.66,1.03,2.51,5.91,5.53
33,004870,1555.0,4.52,0.63,15.5,-4.85,-4.42
34,004890,56300.0,7.86,0.38,0.48,-1.69,-1.51
35,005720,5820.0,5.28,0.35,0.94,9.98,8.76
36,005870,7230.0,4.55,0.94,0.52,-0.94,-0.42
37,005930,58600.0,9.07,1.66,2.39,5.19,4.22
38,006090,7400.0,8.76,0.45,0.21,6.75,3.68
39,006650,107000.0,2.57,0.41,0.37,-7.53,-6.71
40,006740,3290.0,4.13,0.66,0.74,10.03,8.59
41,007340,28300.0,4.43,0.52,1.69,7.83,7.12
42,007690,44550.0,5.53,0.53,0.31,5.18,3.06
43,008040,1005.0,7.44,0.8,0.36,-7.97,-3.38
44,008110,3670.0,9.71,0.3,2.45,-0.83,-0.69
45,008260,2115.0,5.91,0.57,0.31,5.33,2.26
46,008420,2500.0,9.54,0.47,0.34,1.44,0.81
47,008870,63000.0,7.42,0.64,0.79,0.5,0.27
48,009160,2720.0,1.62,0.41,0.65,4.93,3.31
49,009310,1585.0,7.81,1.24,0.81,-4.37,-1.53
50,009580,4080.0,3.65,0.41,0.52,2.56,1.37
51,010780,30300.0,3.81,0.88,1.0,3.27,1.4
52,011170,205500.0,4.46,0.55,0.77,1.33,1.03
53,011330,1840.0,9.39,1.89,1.07,16.96,9.38
54,011780,74100.0,4.21,1.06,0.71,25.69,14.42
55,014280,3660.0,5.6,0.32,0.4,0.03,0.01
56,014530,4060.0,8.39,0.89,0.23,10.78,6.33
57,014710,5000.0,6.82,0.39,0.4,2.82,1.63
58,015230,28300.0,6.73,0.46,2.09,11.69,10.31
59,015890,5670.0,9.71,0.73,1.59,2.17,1.82
60,016090,2300.0,6.8,0.55,0.4,4.55,3.52
61,016590,59700.0,3.03,0.66,1.27,9.51,8.51
62,016740,3240.0,7.45,0.67,0.45,4.95,3.18
63,016800,28900.0,5.99,0.79,1.16,6.56,5.92
64,019440,12200.0,9.21,0.33,0.22,1.51,1.05
65,020000,31000.0,9.16,0.77,0.64,8.22,6.61
66,023000,2880.0,9.66,0.56,0.47,5.25,4.41
67,025750,1085.0,7.48,0.54,0.35,2.31,1.24
68,029460,18700.0,1.2,0.69,1.63,11.33,9.52
69,029530,34650.0,9.72,0.4,1.08,-1.3,-1.19
