,close,per,pbr,psr,roe,roa
000950,39950.0,7.71,0.48,,,
001070,43800.0,58.71,1.7,,,
001460,448000.0,20.45,0.83,,,
002070,3740.0,0.0,1.11,,,
003200,108000.0,24.39,0.37,,,
003610,2660.0,20.78,0.59,,,
005800,128500.0,39.6,0.36,,,
005820,27950.0,3.57,0.61,,,
007700,39600.0,7.07,1.11,,,
007980,2795.0,0.0,0.8,,,
008500,18400.0,0.0,0.87,,,
009270,2020.0,0.0,0.92,,,
011300,787.0,0.0,0.81,,,
014990,1550.0,0.0,2.22,,,
016090,3020.0,14.8,0.66,,,
016450,9310.0,6.72,1.01,,,
020000,45000.0,11.62,0.99,,,
084870,2195.0,0.0,0.59,,,
090370,1185.0,0.0,1.42,,,
093050,20950.0,34.63,0.5,,,
093240,5250.0,0.0,2.62,,,
102280,688.0,0.0,0.76,,,
105630,25550.0,22.31,2.43,,,
111110,15900.0,0.0,1.28,,,
