,close,per,psr,pbr,roe,roa
000660,94700.0,4.26,2.26,1.47,5.88,
001820,52600.0,8.73,2.89,4.32,17.88,
002870,1505.0,4.78,2.19,1.0,-53.26,
003160,3575.0,9.85,1.11,0.83,-4.44,
003830,90200.0,2.29,1.38,0.24,7.4,
005930,55200.0,8.54,2.25,1.56,5.19,
007340,29350.0,4.59,1.75,0.54,7.83,
008110,3710.0,9.81,2.48,0.3,-0.83,
010780,32800.0,4.12,1.09,0.95,3.27,
011330,1840.0,9.39,1.07,1.89,16.96,
015230,28900.0,6.87,2.13,0.47,11.69,
015890,5790.0,9.91,1.62,0.75,2.17,
016590,63100.0,3.21,1.35,0.7,9.51,
016800,29450.0,6.1,1.18,0.81,6.56,
029460,18500.0,1.18,1.61,0.69,11.33,
033270,18550.0,8.67,1.39,1.32,18.05,
042700,7960.0,8.24,1.62,2.11,13.49,
058650,79100.0,9.65,4.43,0.16,7.84,
069260,20600.0,7.65,1.42,1.3,14.67,
092440,3880.0,7.52,1.05,0.48,3.23,
096770,146500.0,8.02,3.61,0.76,46.28,
120030,83300.0,8.01,1.76,1.02,17.42,
161390,32450.0,7.7,1.4,0.59,2.53,
192650,6970.0,9.43,1.1,2.46,8.05,
214330,5800.0,9.18,3.51,0.74,-5.03,
281820,23050.0,8.41,1.44,1.78,12.11,
