,close,per,pbr,psr,roe,roa,ticker
0,18500.0,1.18,0.69,1.61,11.33,9.52,029460
1,90200.0,2.29,0.24,1.38,7.4,6.48,003830
2,63100.0,3.21,0.7,1.35,9.51,8.51,016590
3,32800.0,4.12,0.95,1.09,3.27,1.4,010780
4,94700.0,4.26,1.47,2.26,5.88,4.62,000660
5,29350.0,4.59,0.54,1.75,7.83,7.12,007340
6,1505.0,4.78,1.0,2.19,-53.26,-20.41,002870
7,29450.0,6.1,0.81,1.18,6.56,5.92,016800
8,28900.0,6.87,0.47,2.13,11.69,10.31,015230
9,3880.0,7.52,0.48,1.05,3.23,3.0,092440
10,20600.0,7.65,1.3,1.42,14.67,10.73,069260
11,32450.0,7.7,0.59,1.4,2.53,1.86,161390
12,83300.0,8.01,1.02,1.76,17.42,15.77,120030
13,146500.0,8.02,0.76,3.61,46.28,37.38,096770
14,7960.0,8.24,2.11,1.62,13.49,10.82,042700
15,23050.0,8.41,1.78,1.44,12.11,10.22,281820
16,55200.0,8.54,1.56,2.25,5.19,4.22,005930
17,18550.0,8.67,1.32,1.39,18.05,13.79,033270
18,52600.0,8.73,4.32,2.89,17.88,13.15,001820
19,5800.0,9.18,0.74,3.51,-5.03,-2.89,214330
20,1840.0,9.39,1.89,1.07,16.96,9.38,011330
21,6970.0,9.43,2.46,1.1,8.05,4.93,192650
22,79100.0,9.65,0.16,4.43,7.84,6.95,058650
23,3710.0,9.81,0.3,2.48,-0.83,-0.69,008110
24,3575.0,9.85,0.83,1.11,-4.44,-2.73,003160
25,5790.0,9.91,0.75,1.62,2.17,1.82,015890
