sectorcode,sector
1005,음식료품
1006,섬유의복
1007,종이목재
1008,화학
1009,의약품
1010,비금속광물
1011,철강금속
1012,기계
1013,전기전자
1014,의료정밀
1015,운수장비
1016,유통업
1017,전기가스업
1018,건설업
1019,운수창고업
1020,통신업
1021,금융업
1022,은행
1024,증권
1025,보험
1026,서비스업
1027,제조업
2015,"코스닥 IT"
2024,제조업
2026,건설
2027,유통
2029,운송
2031,금융
2037,오락·문화
2041,통신방송서비스
2042,"IT S/W & SVC"
2043,"IT H/W"
2056,음식료·담배
2058,섬유·의류
2062,종이·목재
2063,출판·매체복제
2065,화학
2066,제약
2067,비금속
2068,금속
2070,기계·장비
2072,일반전기전자
2074,의료·정밀기기
2075,운송장비·부품
2077,기타제조
2151,통신서비스
2152,방송서비스
2153,인터넷
2154,디지털컨텐츠
2155,소프트웨어
2156,컴퓨터서비스
2157,통신장비
2158,정보기기
2159,반도체
2160,IT부품
